date,goods_no,sell_num
2026-09-26,189037004,2361
2026-09-26,189205584,708
2026-09-26,189211422,15711
2026-09-26,189257260,1236
2026-09-26,189379748,336
2026-09-26,189404662,180
2026-09-26,189428579,138
2026-09-26,189438793,492
2026-09-26,189445450,1182
2026-09-26,189445841,36
2026-09-26,189477317,672
2026-09-26,189508675,426
2026-09-26,189521546,1272
2026-09-26,189522258,390
2026-09-26,189531001,8355
2026-09-26,189590860,504
2026-09-26,189610283,912
2026-09-26,189634812,7908
2026-09-26,189674360,3516
2026-09-26,189829859,294
2026-09-26,189850864,1074
2026-09-26,189857110,1734
2026-09-26,190211456,492
2026-09-26,190278099,1344
2026-09-26,190852162,1194
2026-09-26,190877794,294
2026-09-26,190981880,354
2026-09-26,190997764,744
2026-09-26,191005623,726
2026-09-26,191211795,2334
2026-09-26,191303626,204
2026-09-26,191479561,48
2026-09-26,191481932,3759
2026-09-26,191506324,2640
2026-09-26,191507359,2292
2026-09-26,191534262,120
2026-09-26,191700749,4512
2026-09-26,191852111,456
2026-09-26,191852992,672
2026-09-26,191890082,1242
2026-09-26,192021270,216
2026-09-26,192038123,216
2026-09-26,192047818,1518
2026-09-26,192123866,312
2026-09-26,192139754,906
2026-09-26,192148896,37146
2026-09-26,192164452,1362
2026-09-26,192285191,126
2026-09-26,192470678,1152
2026-09-26,192564687,2169
2026-09-26,192564690,1152
2026-09-26,192566622,684
2026-09-26,192666096,429
2026-09-26,192687431,12
2026-09-26,192877325,23172
2026-09-26,192974931,48
2026-09-26,193050689,978
2026-09-26,193058538,492
2026-09-26,193157707,858
2026-09-26,193184189,1080
2026-09-26,193465618,390
2026-09-26,193466964,576
2026-09-26,193583379,1554
2026-09-26,193588890,540
2026-09-26,193592364,480
